HG00096,HG00096,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1,ILLUMINA,WUGSC,ILLUMINA,WUGSC,1,1,1,1,WUGSC,ILLUMINA,14714705600,4.94,WUGSC,ILLUMINA,9580861000,0.851972,0.00028,1.00E-05,0.00024,,7.00E-04,1.00E-05,0.00026,,0.82,0.79,1,1,1,1,,,1,20.31,,,EUR,European
NA21144,NA21144,GIH,"Gujarati Indian in Houston,TX",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,23591300700,7.99,BGI,ILLUMINA,12244243590,0.784757,0.00325,0.00272,,,0.00034,,,,0.86,0.8,1,1,1,1,1,,1,364.56,,,SAS,South Asian
